id,prompt,intents
59,Is there any update on the congestion trend in the northern sector and show a quick chart.,"['spatio_temporal', 'traffic_impact', 'visualization']"
60,I suspect if there's an incident around Punggol if possible.,"['incident_detection', 'spatio_temporal']"
61,Looks like incident severity near Changi just now?,"['incident_detection', 'incident_classification', 'spatio_temporal']"
62,Double check the spatio-temporal pattern near Sengkang right now?,['spatio_temporal']
63,Quick check: accident clusters near KPE tunnels and show a quick chart.,"['incident_detection', 'spatio_temporal', 'visualization']"
64,Please pull up the speed drop near KPE tunnels but don't forecast anything yet.,['spatio_temporal']
65,Need info on whether weather is affecting traffic central region if possible.,['meta_attributes']
66,Help me understand roadwork impact central region and compare with yesterday.,['traffic_impact']
67,Any idea why any anomalies near KPE tunnels if possible.,"['causal_analysis', 'traffic_anomaly', 'spatio_temporal']"
68,Is there any update on if sensors are behaving weird near Sengkang,"['traffic_anomaly', 'spatio_temporal']"
69,I'm seeing unusual readings near why traffic is slowing down at AYE westbound since morning?,"['causal_analysis', 'traffic_anomaly', 'spatio_temporal']"
70,Can you check forecast for the next hour along the PIE right now?,['traffic_forecasting']
71,Please pull up traffic situation along Thomson Road and compare with yesterday.,[]
72,Looks like forecast for the next hour along Thomson Road since morning?,['traffic_forecasting']
73,I'm seeing unusual readings near today’s accidents at expressway interchanges and show a quick chart.,"['incident_detection', 'traffic_anomaly', 'spatio_temporal', 'visualization']"
74,Is there any update on whether weather is affecting traffic around Punggol in simple terms pls.,"['spatio_temporal', 'meta_attributes']"
75,Can you check whether weather is affecting traffic central region,['meta_attributes']
76,I'm seeing unusual readings near what caused the jam at expressway interchanges in simple terms pls.,"['causal_analysis', 'traffic_anomaly', 'spatio_temporal', 'traffic_impact']"
77,Someone reported why traffic is slowing down along Thomson Road and compare with yesterday.,['causal_analysis']
78,I think something's off recent breakdowns along Thomson Road but don't forecast anything yet.,['incident_detection']
79,Need info on whether weather is affecting traffic near Sengkang without the minor events.,"['spatio_temporal', 'meta_attributes']"
80,Looks like roadwork impact downtown CBD and compare with yesterday.,['traffic_impact']
81,I'm seeing unusual readings near whether it's due to roadwork just now?,"['traffic_anomaly', 'spatio_temporal']"
82,Is there any update on if there's an incident central region for the evening peak?,['incident_detection']
83,Help me understand today’s accidents along the PIE in simple terms pls.,['incident_detection']
84,Double check the speed drop along Thomson Road just now?,[]
85,Help me understand travel time delays near CTE Braddell in simple terms pls.,"['spatio_temporal', 'traffic_impact']"
86,Do we know the impact level around Toa Payoh and check weather too.,"['spatio_temporal', 'traffic_impact', 'meta_attributes']"
87,I think something's off the speed drop near CTE Braddell in simple terms pls.,['spatio_temporal']
88,I'm seeing unusual readings near whether weather is affecting traffic at expressway interchanges,"['traffic_anomaly', 'spatio_temporal', 'meta_attributes']"
89,I'm seeing unusual readings near the impact level around Jurong East in simple terms pls.,"['traffic_anomaly', 'spatio_temporal', 'traffic_impact']"
90,Could you find out what caused the jam at AYE westbound,"['causal_analysis', 'traffic_impact']"
91,Pls show accident clusters near KPE tunnels but don't forecast anything yet.,"['incident_detection', 'spatio_temporal']"
92,I suspect the speed drop around Toa Payoh if possible.,['spatio_temporal']
93,Help me understand the speed drop in the northern sector and check weather too.,"['spatio_temporal', 'meta_attributes']"
94,Can you check recent breakdowns around Toa Payoh and compare with yesterday.,"['incident_detection', 'spatio_temporal']"
95,Quick check: whether weather is affecting traffic around Toa Payoh,"['spatio_temporal', 'meta_attributes']"
96,Pls show whether weather is affecting traffic near CTE Braddell if possible.,"['spatio_temporal', 'meta_attributes']"
97,Can you check accident clusters around Jurong East and check weather too.,"['incident_detection', 'spatio_temporal', 'meta_attributes']"
98,I suspect recent breakdowns at expressway interchanges right now?,['incident_detection']
99,Help me understand whether weather is affecting traffic at expressway interchanges for the last hour?,['meta_attributes']
100,Help me understand any anomalies around Marina Bay right now?,"['traffic_anomaly', 'spatio_temporal']"
101,I think something's off traffic situation around Jurong East,['spatio_temporal']
102,Please pull up what caused the jam no visualisation needed.,"['causal_analysis', 'traffic_impact', 'visualization']"
103,Do we know why traffic is slowing down around Toa Payoh and compare with yesterday.,"['causal_analysis', 'spatio_temporal']"
104,I suspect post-incident recovery around Punggol and show a quick chart.,"['incident_detection', 'spatio_temporal', 'visualization']"
105,Help me understand the volume spike around Marina Bay and show a quick chart.,"['spatio_temporal', 'visualization']"
106,I'm seeing unusual readings near forecast for the next hour at AYE westbound and compare with yesterday.,"['traffic_anomaly', 'traffic_forecasting', 'spatio_temporal']"
107,Looks like the volume spike near Sengkang,['spatio_temporal']
108,Looks like the speed drop in the northern sector without the minor events.,['spatio_temporal']
109,Double check incident severity downtown CBD and compare with yesterday.,"['incident_detection', 'incident_classification']"
110,Someone reported what caused the jam along Thomson Road if possible.,"['causal_analysis', 'traffic_impact']"
111,Double check the congestion trend around Jurong East right now?,"['spatio_temporal', 'traffic_impact']"
112,Can we confirm if there's an incident at AYE westbound for the evening peak?,['incident_detection']
113,Can you check roadwork impact near KPE tunnels but don't forecast anything yet.,"['spatio_temporal', 'traffic_impact']"
114,Is there any update on whether weather is affecting traffic around Toa Payoh no visualisation needed.,"['spatio_temporal', 'visualization', 'meta_attributes']"
115,Any idea why the impact level near KPE tunnels and check weather too.,"['causal_analysis', 'spatio_temporal', 'traffic_impact', 'meta_attributes']"
116,"Hey, can you check if there's an incident in the northern sector and check weather too.","['incident_detection', 'spatio_temporal', 'meta_attributes']"
117,Double check recent breakdowns around Woodlands checkpoint and check weather too.,"['incident_detection', 'spatio_temporal', 'meta_attributes']"
118,Someone reported forecast for the next hour near Changi right now?,"['traffic_forecasting', 'spatio_temporal']"
119,Looks like the congestion trend near CTE Braddell just now?,"['spatio_temporal', 'traffic_impact']"
120,I'm seeing unusual readings near post-incident recovery along Thomson Road for the evening peak?,"['incident_detection', 'traffic_anomaly', 'spatio_temporal']"
121,Someone reported the volume spike downtown CBD in simple terms pls.,[]
122,Someone reported whether weather is affecting traffic near Sengkang no visualisation needed.,"['spatio_temporal', 'visualization', 'meta_attributes']"
123,Double check travel time delays around Marina Bay today?,"['spatio_temporal', 'traffic_impact']"
124,Someone reported travel time delays near KPE tunnels for the evening peak?,"['spatio_temporal', 'traffic_impact']"
125,Pls show recent breakdowns in the northern sector,"['incident_detection', 'spatio_temporal']"
126,Need info on post-incident recovery no visualisation needed.,"['incident_detection', 'visualization']"
127,Help me understand incident severity around Toa Payoh but don't forecast anything yet.,"['incident_detection', 'incident_classification', 'spatio_temporal']"
128,Not sure but looks like if sensors are behaving weird around Punggol since morning?,"['traffic_anomaly', 'spatio_temporal']"
129,Help me understand forecast for the next hour downtown CBD for the evening peak?,['traffic_forecasting']
130,Please pull up the speed drop along Thomson Road and show a quick chart.,['visualization']
131,I think something's off travel time delays along Thomson Road,['traffic_impact']
132,Any idea why post-incident recovery and check weather too.,"['causal_analysis', 'incident_detection', 'meta_attributes']"
133,Show me traffic situation around Toa Payoh just now?,['spatio_temporal']
134,Can we confirm what caused the jam along the PIE without the minor events.,"['causal_analysis', 'traffic_impact']"
135,Can we confirm whether it's due to roadwork at expressway interchanges excluding heavy traffic alerts.,[]
136,Could you find out travel time delays around Marina Bay but don't forecast anything yet.,"['spatio_temporal', 'traffic_impact']"
137,Show me if there's an incident along the PIE and compare with yesterday.,['incident_detection']
138,Please pull up recent breakdowns at expressway interchanges since morning?,['incident_detection']
139,Please pull up if there's an incident at expressway interchanges no visualisation needed.,"['incident_detection', 'visualization']"
140,Pls show the volume spike along Thomson Road and check weather too.,['meta_attributes']
141,Is there any update on if sensors are behaving weird near Changi without the minor events.,"['traffic_anomaly', 'spatio_temporal']"
142,Can we confirm travel time delays at expressway interchanges if possible.,['traffic_impact']
143,Someone reported any anomalies near KPE tunnels just now?,"['traffic_anomaly', 'spatio_temporal']"
144,"Hey, can you check post-incident recovery near CTE Braddell and check weather too.","['incident_detection', 'spatio_temporal', 'meta_attributes']"
145,Is there any update on the impact level at AYE westbound in simple terms pls.,['traffic_impact']
146,Please pull up why traffic is slowing down at expressway interchanges today?,['causal_analysis']
147,Not sure but looks like what caused the jam at expressway interchanges,"['causal_analysis', 'traffic_impact']"
148,Help me understand roadwork impact at expressway interchanges for the last hour?,['traffic_impact']
149,Could you find out forecast for the next hour around Marina Bay just now?,"['traffic_forecasting', 'spatio_temporal']"
150,Someone reported whether weather is affecting traffic near Sengkang for the last hour?,"['spatio_temporal', 'meta_attributes']"
151,"Hey, can you check the spatio-temporal pattern around Marina Bay and show a quick chart.","['spatio_temporal', 'visualization']"
152,Quick check: the spatio-temporal pattern in simple terms pls.,['spatio_temporal']
153,Pls show the impact level at expressway interchanges right now?,['traffic_impact']
154,Pls show today’s accidents near Sengkang right now?,"['incident_detection', 'spatio_temporal']"
155,Looks like recent breakdowns downtown CBD for the evening peak?,['incident_detection']
156,"Hey, can you check the speed drop at AYE westbound in simple terms pls.",[]
157,Not sure but looks like the speed drop near Changi if possible.,['spatio_temporal']
158,Pls show forecast for the next hour at expressway interchanges without the minor events.,['traffic_forecasting']
159,Please pull up whether weather is affecting traffic and check weather too.,['meta_attributes']
160,I think something's off if sensors are behaving weird near Sengkang and show a quick chart.,"['traffic_anomaly', 'spatio_temporal', 'visualization']"
161,"Hey, can you check recent breakdowns along the PIE today?",['incident_detection']
162,Please pull up whether weather is affecting traffic around Punggol in simple terms pls.,"['spatio_temporal', 'meta_attributes']"
163,I think something's off accident clusters at expressway interchanges without the minor events.,['incident_detection']
164,Can we confirm incident severity along Thomson Road no visualisation needed.,"['incident_detection', 'incident_classification', 'visualization']"
165,Can you check if sensors are behaving weird around Marina Bay and compare with yesterday.,"['traffic_anomaly', 'spatio_temporal']"
166,Pls show whether weather is affecting traffic around Woodlands checkpoint excluding heavy traffic alerts.,"['spatio_temporal', 'meta_attributes']"
167,Show me the congestion trend near KPE tunnels excluding heavy traffic alerts.,"['spatio_temporal', 'traffic_impact']"
168,Is there any update on if there's an incident around Jurong East for the evening peak?,"['incident_detection', 'spatio_temporal']"
169,Need info on whether it's due to roadwork around Marina Bay and compare with yesterday.,['spatio_temporal']
170,Is there any update on incident severity in the northern sector but don't forecast anything yet.,"['incident_detection', 'incident_classification', 'spatio_temporal']"
171,Can you check incident severity downtown CBD without the minor events.,"['incident_detection', 'incident_classification']"
172,Need info on post-incident recovery and check weather too.,"['incident_detection', 'meta_attributes']"
173,Pls show what caused the jam around Woodlands checkpoint just now?,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
174,Please pull up incident severity along Thomson Road and check weather too.,"['incident_detection', 'incident_classification', 'meta_attributes']"
175,Can we confirm the volume spike near CTE Braddell today?,['spatio_temporal']
176,I'm seeing unusual readings near if there's an incident without the minor events.,"['incident_detection', 'traffic_anomaly', 'spatio_temporal']"
177,Pls show the spatio-temporal pattern near KPE tunnels and show a quick chart.,"['spatio_temporal', 'visualization']"
178,Is there any update on if sensors are behaving weird along the PIE,['traffic_anomaly']
179,Do we know recent breakdowns near CTE Braddell for the last hour?,"['incident_detection', 'spatio_temporal']"
180,Show me the impact level near Sengkang since morning?,"['spatio_temporal', 'traffic_impact']"
181,Double check roadwork impact around Marina Bay,"['spatio_temporal', 'traffic_impact']"
182,Is there any update on traffic situation at AYE westbound and show a quick chart.,['visualization']
183,Someone reported whether it's due to roadwork along the PIE since morning?,[]
184,I think something's off the volume spike around Toa Payoh and show a quick chart.,"['spatio_temporal', 'visualization']"
185,Quick check: post-incident recovery,['incident_detection']
186,Any idea why what caused the jam near Changi just now?,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
187,Help me understand what caused the jam around Marina Bay for the evening peak?,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
188,Looks like accident clusters along Thomson Road and show a quick chart.,"['incident_detection', 'visualization']"
189,Someone reported roadwork impact at expressway interchanges and check weather too.,"['traffic_impact', 'meta_attributes']"
190,Need info on any anomalies near Changi since morning?,"['traffic_anomaly', 'spatio_temporal']"
191,Please pull up why traffic is slowing down along the PIE if possible.,['causal_analysis']
192,Pls show the speed drop near Sengkang for the last hour?,['spatio_temporal']
193,Any idea why roadwork impact around Jurong East and compare with yesterday.,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
194,Is there any update on why traffic is slowing down,['causal_analysis']
195,Need info on whether weather is affecting traffic near KPE tunnels and check weather too.,"['spatio_temporal', 'meta_attributes']"
196,Can you check the speed drop around Punggol excluding heavy traffic alerts.,['spatio_temporal']
197,I suspect traffic situation around Woodlands checkpoint,['spatio_temporal']
198,I suspect traffic situation at AYE westbound without the minor events.,[]
199,I'm seeing unusual readings near recent breakdowns near CTE Braddell if possible.,"['incident_detection', 'traffic_anomaly', 'spatio_temporal']"
200,Can we confirm travel time delays downtown CBD today?,['traffic_impact']
201,Please pull up the congestion trend at AYE westbound and check weather too.,"['traffic_impact', 'meta_attributes']"
202,I suspect the impact level at expressway interchanges if possible.,['traffic_impact']
203,"Hey, can you check traffic situation downtown CBD just now?",[]
204,Can we confirm why traffic is slowing down around Jurong East,"['causal_analysis', 'spatio_temporal']"
205,Any idea why today’s accidents downtown CBD for the last hour?,"['causal_analysis', 'incident_detection']"
206,Please pull up forecast for the next hour and compare with yesterday.,['traffic_forecasting']
207,Double check accident clusters in the northern sector,"['incident_detection', 'spatio_temporal']"
208,Can we confirm what caused the jam near CTE Braddell for the last hour?,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
209,Need info on accident clusters along Thomson Road in simple terms pls.,['incident_detection']
210,I think something's off what caused the jam around Marina Bay just now?,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
211,I'm seeing unusual readings near the spatio-temporal pattern,"['traffic_anomaly', 'spatio_temporal']"
212,"Hey, can you check the volume spike for the evening peak?",[]
213,Please pull up traffic situation around Woodlands checkpoint for the last hour?,['spatio_temporal']
214,Show me whether it's due to roadwork around Jurong East but don't forecast anything yet.,['spatio_temporal']
215,Looks like incident severity around Marina Bay without the minor events.,"['incident_detection', 'incident_classification', 'spatio_temporal']"
216,I'm seeing unusual readings near what caused the jam around Punggol but don't forecast anything yet.,"['causal_analysis', 'traffic_anomaly', 'spatio_temporal', 'traffic_impact']"
217,Is there any update on the congestion trend along the PIE for the last hour?,['traffic_impact']
218,Looks like what caused the jam around Jurong East but don't forecast anything yet.,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
219,Looks like accident clusters around Punggol,"['incident_detection', 'spatio_temporal']"
220,Do we know recent breakdowns around Woodlands checkpoint and check weather too.,"['incident_detection', 'spatio_temporal', 'meta_attributes']"
221,I think something's off if there's an incident near KPE tunnels and compare with yesterday.,"['incident_detection', 'spatio_temporal']"
222,I suspect the spatio-temporal pattern along the PIE if possible.,['spatio_temporal']
223,Show me whether weather is affecting traffic at AYE westbound just now?,['meta_attributes']
224,I suspect forecast for the next hour around Woodlands checkpoint no visualisation needed.,"['traffic_forecasting', 'spatio_temporal', 'visualization']"
225,Someone reported forecast for the next hour around Toa Payoh today?,"['traffic_forecasting', 'spatio_temporal']"
226,Pls show the congestion trend along the PIE,['traffic_impact']
227,Pls show traffic situation near CTE Braddell but don't forecast anything yet.,['spatio_temporal']
228,Show me whether weather is affecting traffic around Jurong East but don't forecast anything yet.,"['spatio_temporal', 'meta_attributes']"
229,Not sure but looks like accident clusters at AYE westbound since morning?,['incident_detection']
230,Can we confirm why traffic is slowing down near Sengkang excluding heavy traffic alerts.,"['causal_analysis', 'spatio_temporal']"
231,I suspect whether weather is affecting traffic near CTE Braddell right now?,"['spatio_temporal', 'meta_attributes']"
232,I'm seeing unusual readings near the impact level around Woodlands checkpoint and compare with yesterday.,"['traffic_anomaly', 'spatio_temporal', 'traffic_impact']"
233,I think something's off whether weather is affecting traffic near KPE tunnels no visualisation needed.,"['spatio_temporal', 'visualization', 'meta_attributes']"
234,Double check recent breakdowns along the PIE since morning?,['incident_detection']
235,Help me understand forecast for the next hour near CTE Braddell right now?,"['traffic_forecasting', 'spatio_temporal']"
236,Please pull up recent breakdowns near CTE Braddell no visualisation needed.,"['incident_detection', 'spatio_temporal', 'visualization']"
237,Someone reported post-incident recovery around Jurong East today?,"['incident_detection', 'spatio_temporal']"
238,Help me understand whether weather is affecting traffic near KPE tunnels right now?,"['spatio_temporal', 'meta_attributes']"
239,Could you find out recent breakdowns around Marina Bay if possible.,"['incident_detection', 'spatio_temporal']"
240,Can we confirm any anomalies in the northern sector since morning?,"['traffic_anomaly', 'spatio_temporal']"
241,"Hey, can you check the speed drop central region right now?",[]
242,I'm seeing unusual readings near the volume spike near Sengkang for the evening peak?,"['traffic_anomaly', 'spatio_temporal']"
243,Someone reported the spatio-temporal pattern around Toa Payoh right now?,['spatio_temporal']
244,Can you check any anomalies at AYE westbound no visualisation needed.,"['traffic_anomaly', 'visualization']"
245,Could you find out the speed drop in the northern sector just now?,['spatio_temporal']
246,Someone reported incident severity along Thomson Road if possible.,"['incident_detection', 'incident_classification']"
247,Can we confirm the speed drop at expressway interchanges just now?,[]
248,Need info on forecast for the next hour central region,['traffic_forecasting']
249,Show me the congestion trend near CTE Braddell and compare with yesterday.,"['spatio_temporal', 'traffic_impact']"
250,Any idea why today’s accidents around Toa Payoh no visualisation needed.,"['causal_analysis', 'incident_detection', 'spatio_temporal', 'visualization']"
251,Can you check accident clusters along the PIE in simple terms pls.,['incident_detection']
252,Help me understand the impact level around Toa Payoh if possible.,"['spatio_temporal', 'traffic_impact']"
253,Can we confirm today’s accidents around Jurong East excluding heavy traffic alerts.,"['incident_detection', 'spatio_temporal']"
254,I suspect post-incident recovery along Thomson Road if possible.,['incident_detection']
255,Pls show the speed drop near CTE Braddell today?,['spatio_temporal']
256,I'm seeing unusual readings near any anomalies along Thomson Road in simple terms pls.,"['traffic_anomaly', 'spatio_temporal']"
257,Do we know the impact level near Sengkang if possible.,"['spatio_temporal', 'traffic_impact']"
258,Any idea why accident clusters around Woodlands checkpoint right now?,"['causal_analysis', 'incident_detection', 'spatio_temporal']"
259,Double check if sensors are behaving weird at expressway interchanges no visualisation needed.,"['traffic_anomaly', 'visualization']"
260,Quick check: travel time delays near Sengkang excluding heavy traffic alerts.,"['spatio_temporal', 'traffic_impact']"
261,Someone reported incident severity around Toa Payoh and check weather too.,"['incident_detection', 'incident_classification', 'spatio_temporal', 'meta_attributes']"
262,Pls show any anomalies around Woodlands checkpoint but don't forecast anything yet.,"['traffic_anomaly', 'spatio_temporal']"
263,Pls show the impact level in the northern sector since morning?,"['spatio_temporal', 'traffic_impact']"
264,Please pull up what caused the jam around Punggol no visualisation needed.,"['causal_analysis', 'spatio_temporal', 'traffic_impact', 'visualization']"
265,Someone reported the impact level around Punggol,"['spatio_temporal', 'traffic_impact']"
266,Quick check: whether it's due to roadwork for the last hour?,[]
267,Pls show today’s accidents near Changi for the last hour?,"['incident_detection', 'spatio_temporal']"
268,Can we confirm today’s accidents in the northern sector without the minor events.,"['incident_detection', 'spatio_temporal']"
269,Please pull up if there's an incident along Thomson Road excluding heavy traffic alerts.,['incident_detection']
270,Quick check: recent breakdowns at AYE westbound and check weather too.,"['incident_detection', 'meta_attributes']"
271,Quick check: recent breakdowns around Marina Bay just now?,"['incident_detection', 'spatio_temporal']"
272,Not sure but looks like the speed drop around Toa Payoh in simple terms pls.,['spatio_temporal']
273,Pls show travel time delays central region in simple terms pls.,['traffic_impact']
274,I think something's off any anomalies at AYE westbound no visualisation needed.,"['traffic_anomaly', 'visualization']"
275,Looks like the speed drop at AYE westbound but don't forecast anything yet.,[]
276,Help me understand the volume spike downtown CBD,[]
277,Please pull up travel time delays in the northern sector,"['spatio_temporal', 'traffic_impact']"
278,Can we confirm any anomalies at expressway interchanges but don't forecast anything yet.,['traffic_anomaly']
279,Can you check roadwork impact near CTE Braddell for the last hour?,"['spatio_temporal', 'traffic_impact']"
280,I think something's off roadwork impact around Toa Payoh and show a quick chart.,"['spatio_temporal', 'traffic_impact', 'visualization']"
281,Any idea why what caused the jam near Changi for the last hour?,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
282,Any idea why what caused the jam around Woodlands checkpoint and compare with yesterday.,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
283,Please pull up post-incident recovery central region today?,['incident_detection']
284,Any idea why the impact level near KPE tunnels,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
285,Can we confirm if there's an incident along Thomson Road and show a quick chart.,"['incident_detection', 'visualization']"
286,I think something's off travel time delays in the northern sector,"['spatio_temporal', 'traffic_impact']"
287,Double check recent breakdowns around Woodlands checkpoint and compare with yesterday.,"['incident_detection', 'spatio_temporal']"
288,Pls show the speed drop around Jurong East,['spatio_temporal']
289,"Hey, can you check today’s accidents at expressway interchanges but don't forecast anything yet.",['incident_detection']
290,I'm seeing unusual readings near incident severity in the northern sector if possible.,"['incident_detection', 'incident_classification', 'traffic_anomaly', 'spatio_temporal']"
291,"Hey, can you check accident clusters at expressway interchanges if possible.",['incident_detection']
292,Someone reported recent breakdowns in the northern sector and check weather too.,"['incident_detection', 'spatio_temporal', 'meta_attributes']"
293,Do we know the congestion trend around Marina Bay just now?,"['spatio_temporal', 'traffic_impact']"
294,Any idea why accident clusters along the PIE,"['causal_analysis', 'incident_detection']"
295,"Hey, can you check accident clusters at expressway interchanges if possible.",['incident_detection']
296,Quick check: post-incident recovery around Woodlands checkpoint no visualisation needed.,"['incident_detection', 'spatio_temporal', 'visualization']"
297,Help me understand traffic situation around Punggol,['spatio_temporal']
298,Please pull up post-incident recovery at AYE westbound without the minor events.,['incident_detection']
299,Need info on travel time delays near Sengkang for the evening peak?,"['spatio_temporal', 'traffic_impact']"
300,Can we confirm forecast for the next hour near CTE Braddell for the last hour?,"['traffic_forecasting', 'spatio_temporal']"
301,Any idea why the speed drop along the PIE without the minor events.,['causal_analysis']
302,Can we confirm what caused the jam around Marina Bay excluding heavy traffic alerts.,"['causal_analysis', 'spatio_temporal', 'traffic_impact']"
303,Do we know roadwork impact around Punggol,"['spatio_temporal', 'traffic_impact']"
304,Double check any anomalies in the northern sector no visualisation needed.,"['traffic_anomaly', 'spatio_temporal', 'visualization']"
305,Is there any update on the volume spike near KPE tunnels excluding heavy traffic alerts.,['spatio_temporal']
306,Any idea why if there's an incident around Toa Payoh just now?,"['causal_analysis', 'incident_detection', 'spatio_temporal']"
307,I'm seeing unusual readings near why traffic is slowing down near KPE tunnels,"['causal_analysis', 'traffic_anomaly', 'spatio_temporal']"
308,Any idea why accident clusters and compare with yesterday.,"['causal_analysis', 'incident_detection']"
309,I think something's off whether weather is affecting traffic around Marina Bay if possible.,"['spatio_temporal', 'meta_attributes']"
